"blkgroup","medc_allblk","medc_workinRegionblk","medc_within40blk","medc_25_employeesblk","commutersInBlgr","commuterinRegionblk","commuterw40blk","commuter25blk","avgc_allblk","avgc_workinRegionblk","avgc_within40blk","avgc_25_employeesblk","county"
"511099502022",29.7284760733817,15.5407117127563,18.5526742941926,24.7030195409088,434,199,360,377,28.9110283564926,14.5794603467732,18.2386162308626,24.370356835767,"51109"
"511099503001",30.6898381300751,24.2751948104406,21.6282000223157,28.4348983610361,1391,804,1097,1276,31.4111348697473,24.2565914360201,21.8734581083539,28.264896735766,"51109"
"511099503002",28.1782236043359,18.175860805108,16.5166146469711,23.8371569593198,1336,792,1015,1232,28.6610161337473,18.6450713539587,16.9981762266752,25.1563429311399,"51109"
"511099503003",28.7392282215107,15.9412162962437,15.1711236748955,25.8079608838269,1459,873,1091,1347,28.7969064627339,16.1524865193017,15.4053701154298,24.9843882576557,"51109"
"511099504001",31.4593416982158,18.1901866858819,18.3980585001492,26.8129047987949,711,431,519,643,30.0891431510391,17.8291518943339,18.5478742455706,26.7906098322359,"51109"
"511099504002",34.3206070907914,21.7422520727505,22.7743946318592,29.18018207523,695,403,535,614,33.1340019489198,21.9516074986643,22.5565398319304,29.2500511566771,"51109"
"511099505001",26.0218982596632,14.3189419472291,14.8098913690061,23.4844779765418,500,168,406,418,27.2816000149749,16.848596262419,15.0388102952441,23.6526673423465,"51109"
"511099505002",28.7990608667711,16.7230428645349,15.100477360947,23.2232186881998,836,282,660,686,28.3384037209352,16.1028123454031,15.6748464772557,22.9407581752008,"51109"
"511099505003",29.2850928349265,14.9645470611622,16.7918411842,26.9869723910636,469,153,362,400,30.548472150872,17.5027134110645,17.0479756421531,26.9476908458884,"51109"
"511259501001",28.7675616259686,14.0880009176356,16.6935474783255,23.860506981695,727,435,590,648,32.0741797254182,13.9580555504772,16.75257406992,24.8951548173441,"51125"
"511259501002",32.1997073671177,14.7666563060854,16.1436326771706,24.872901250524,540,304,425,467,33.7990173178188,14.8821613635771,16.6976045438014,26.0205771473278,"51125"
"511259501003",32.335788918788,15.0113274790639,16.6610313860625,27.0060000236536,452,252,354,395,33.499164174821,15.6066417328087,16.3399043853121,27.0202237454423,"51125"
"511259501004",35.4980704811503,18.8940088671274,17.4070135633938,27.2792049546327,790,444,627,693,35.3203241031176,18.2945263127108,17.4625386132631,28.2242486258003,"51125"
"511259502001",32.0617655402411,18.0889209317059,14.818458128245,26.4685691338166,175,98,139,153,34.3754816584596,18.8002429152311,15.8093470951934,26.5032930172148,"51125"
"511259502002",30.7659634047902,14.0408579061313,13.3677084008986,21.8967419921607,758,483,600,682,31.345678458675,14.7901990952469,14.080598027303,23.8901767463261,"51125"
"511259502003",32.3819550676453,17.7753942355382,16.4036538101631,25.2938174939658,644,410,522,577,32.179703762431,17.3777402045321,15.523113615878,23.8710831451777,"51125"
"511259502004",31.3589940047839,16.1762043673717,13.83471915671,24.3947915698688,537,335,438,488,29.4813302202231,15.5882443865301,13.769525707376,22.7861475247707,"51125"
"511259503001",35.5339783151491,14.32867330374,13.5255649093538,24.1179505606782,578,324,450,503,33.5727657197005,14.2314253424452,13.5342939618085,24.9183132953953,"51125"
"511259503002",37.7855791200635,16.8772711478153,15.5749544516068,24.0039151138953,294,163,230,259,37.2404916863685,16.8180308237741,15.4403226638611,26.3091666769039,"51125"
"511259503003",31.1013980864287,21.5165409966478,15.7537594969212,23.7811728913364,320,194,243,289,35.059953466733,20.7854788676171,15.7893630570167,27.3466754434449,"51125"
"511259503004",32.7767796677567,17.7913257791504,15.9726747251287,25.5489493181026,568,293,428,487,37.1307252943137,18.8863468113937,15.9461455304594,28.5470653310414,"51125"
"515400002011",21.5330313166131,2.00111119410763,4.87510788891449,13.2054757459827,393,282,305,353,23.5436067759461,1.78019187328032,3.91249645555034,15.0336649950829,"51540"
"515400002012",15.8816454223475,1.67489180463779,3.91654996756231,13.0082741085751,365,270,295,346,19.4086015757473,1.5944929989534,4.0301370709862,14.340275538153,"51540"
"515400002013",15.9790016795393,1.17797023498824,2.89501917935257,15.2759526625681,471,355,387,441,18.9317253065554,1.64750504525611,3.82560960679599,14.1862945288734,"51540"
"515400002021",31.73338735489,1.4054891688969,3.52919150863023,21.8703549955001,345,223,242,308,29.0643690164354,1.65784843658549,3.84608713148185,20.5034262799564,"51540"
"515400002022",34.687608123079,1.69057692416981,4.51511934260701,27.0695589443826,440,261,283,386,33.5790989322688,1.59481616242994,3.77282221089146,25.1520378245874,"51540"
"515400002023",38.8864251546264,1.34192630614068,4.00796453032145,26.4768600741348,514,292,316,437,35.8923624716827,1.35781625735089,3.34313540477157,26.1364427249319,"51540"
"515400003021",15.0382165788256,2.75277271612132,4.21523794270123,11.3519798683199,744,595,631,706,16.3720644043377,2.88538831510481,4.20192510527577,12.263307228228,"51540"
"515400003022",14.1547552786215,3.08072367445326,4.48502107308835,10.7107412588087,704,568,608,666,15.5363686837429,2.88601758371793,4.58098176588202,11.5082150151132,"51540"
"515400004011",17.4751074262421,2.12164123575851,3.95441190041881,14.0329642234268,924,693,751,867,18.0417165259956,1.80392346552971,3.79061751687451,13.7844808382312,"51540"
"515400004012",19.4553828101416,2.60591404017393,4.30888439577469,14.8786431352847,894,674,730,832,19.6136792104089,2.59541906232977,4.66877268168396,14.0554362577405,"51540"
"515400004021",16.912830930724,1.44758378749353,3.86963978832719,11.1403499262864,390,305,329,371,16.654857619012,1.69541136887929,3.69101200353407,11.9762529816133,"51540"
"515400004022",15.2483901439129,2.33675887267838,3.2935918710168,12.6259556624382,699,573,603,669,14.6538919714846,2.09838276888466,3.31563832182717,11.440285332465,"51540"
"515400004023",16.5971074500413,2.89558681127726,5.06521731929104,12.567943027875,737,579,635,701,16.288668231589,2.91866137915988,5.1082663669485,12.0179924009935,"51540"
"515400004024",17.4342567237786,2.19344226776746,3.98929997466015,14.2889475948426,526,411,444,497,17.0952955018563,2.31271627882735,4.05205477374933,13.2672927392659,"51540"
