STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,Totpcp,Totpcpinch
51,131,930300,1,511319303001,Block Group 1,2010,30.95,32.67,30.1,87.7,90.81,86.19,909.24,35.8
51,131,930300,2,511319303002,Block Group 2,2010,30.98,32.69,30.14,87.76,90.84,86.25,911.79,35.9
51,131,930300,3,511319303003,Block Group 3,2010,30.85,32.59,29.98,87.52,90.66,85.97,884.42,34.82
51,131,930300,4,511319303004,Block Group 4,2010,30.92,32.62,30.02,87.65,90.72,86.03,941.18,37.05
51,131,990100,0,511319901000,Block Group 0,2010,30.77,32.54,29.93,87.38,90.56,85.88,935.25,36.82
51,001,090100,1,510010901001,Block Group 1,2020,27.13,31.42,29.26,80.83,88.56,84.68,1439.29,56.66
51,001,090100,2,510010901002,Block Group 2,2020,27.16,31.47,29.27,80.89,88.65,84.69,1440.41,56.71
51,001,090100,3,510010901003,Block Group 3,2020,27.1,31.43,29.25,80.77,88.57,84.65,1437.35,56.59
51,001,090100,4,510010901004,Block Group 4,2020,27.16,31.5,29.27,80.89,88.71,84.69,1429.43,56.28
51,001,090200,1,510010902001,Block Group 1,2020,27.8,31.98,29.51,82.03,89.56,85.12,1484.7,58.45
51,001,090200,2,510010902002,Block Group 2,2020,27.54,31.75,29.42,81.57,89.15,84.95,1479.55,58.25
51,001,090200,3,510010902003,Block Group 3,2020,27.58,31.86,29.44,81.64,89.35,84.99,1457.36,57.38
51,001,090300,1,510010903001,Block Group 1,2020,27.94,32.16,29.58,82.29,89.88,85.24,1448.76,57.04
51,001,090300,2,510010903002,Block Group 2,2020,27.67,31.97,29.48,81.81,89.55,85.07,1457.61,57.39
51,001,090300,3,510010903003,Block Group 3,2020,27.78,32.09,29.53,82.01,89.77,85.16,1451.65,57.15
51,001,090400,1,510010904001,Block Group 1,2020,27.49,31.87,29.43,81.48,89.37,84.98,1435.23,56.51
51,001,090400,2,510010904002,Block Group 2,2020,27.51,31.94,29.48,81.52,89.49,85.06,1430.48,56.32
51,001,090400,3,510010904003,Block Group 3,2020,27.52,32.01,29.52,81.54,89.62,85.14,1421.55,55.97
51,001,090400,4,510010904004,Block Group 4,2020,27.55,32.11,29.59,81.59,89.8,85.27,1402.88,55.23
51,001,090500,1,510010905001,Block Group 1,2020,27.81,32.17,29.56,82.06,89.91,85.22,1451.33,57.14
51,001,090500,2,510010905002,Block Group 2,2020,27.68,32.09,29.54,81.83,89.77,85.17,1458.23,57.41
51,001,090500,3,510010905003,Block Group 3,2020,27.72,32.18,29.6,81.89,89.93,85.28,1458.95,57.44
51,001,090600,1,510010906001,Block Group 1,2020,28.4,32.64,29.8,83.12,90.76,85.63,1473.43,58.01
51,001,090600,2,510010906002,Block Group 2,2020,27.91,32.33,29.66,82.23,90.19,85.39,1471.89,57.95
51,001,090600,3,510010906003,Block Group 3,2020,27.83,32.32,29.67,82.1,90.18,85.41,1458.71,57.43
51,001,090600,4,510010906004,Block Group 4,2020,27.94,32.43,29.74,82.29,90.37,85.53,1481.45,58.32
51,001,090700,1,510010907001,Block Group 1,2020,27.72,32.27,29.67,81.9,90.09,85.41,1436.82,56.57
51,001,090700,2,510010907002,Block Group 2,2020,27.78,32.35,29.74,82,90.23,85.52,1435.72,56.52
51,001,090700,3,510010907003,Block Group 3,2020,27.83,32.42,29.78,82.09,90.36,85.61,1440.27,56.7
51,001,090700,4,510010907004,Block Group 4,2020,27.9,32.45,29.78,82.23,90.4,85.6,1467.89,57.79
51,001,090700,5,510010907005,Block Group 5,2020,28.02,32.6,29.87,82.44,90.69,85.76,1492.84,58.77
51,001,090800,1,510010908001,Block Group 1,2020,27.64,32.24,29.69,81.76,90.04,85.44,1388.02,54.65
